Airport Name,Flight Date,Origin State,year
BARKSDALE AIR FORCE BASE AIRPORT,1990-05-29,Louisiana,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-05-29,Illinois,1990
NEW ORLEANS INTERNATIONAL,1990-05-30,Louisiana,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-05-30,Missouri,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-05-31,Missouri,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-05-31,Kentucky,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-06-01,Louisiana,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-06-01,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-06-04,Texas,1990
WILL ROGERS WORLD AIRPORT,1990-06-05,Oklahoma,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-06-06,Missouri,1990
GREATER PITTSBURGH,1990-06-07,Pennsylvania,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-06-07,Louisiana,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-06-07,Illinois,1990
METRO OAKLAND INTERNATIONAL,1990-06-08,California,1990
NASHVILLE INTERNATIONAL,1990-06-09,Tennessee,1990
BALTIMORE WASH INTERNATIONAL,1990-06-09,Maryland,1990
GREATER PITTSBURGH,1990-06-11,Pennsylvania,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-06-12,Louisiana,1990
WILL ROGERS WORLD AIRPORT,1990-06-12,Oklahoma,1990
SAN ANTONIO INTERNATIONAL,1990-06-14,Texas,1990
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1990-06-14,Kentucky,1990
NASHVILLE INTERNATIONAL,1990-06-14,Tennessee,1990
WILL ROGERS WORLD AIRPORT,1990-06-17,Oklahoma,1990
LOGAN INTERNATIONAL,1990-06-18,Massachusetts,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-06-19,Louisiana,1990
GREATER PITTSBURGH,1990-06-19,Pennsylvania,1990
SAN FRANCISCO INTERNATIONAL AIRPORT,1990-06-20,California,1990
ORLANDO INTERNATIONAL,1990-06-21,Florida,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-06-22,Louisiana,1990
HOUSTON-HOBBY,1990-06-23,Texas,1990
CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1990-06-23,Ohio,1990
CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1990-06-23,Ohio,1990
MINETA SAN JOSE INTERNATIONAL,1990-06-23,California,1990
PORT COLUMBUS INTERNATIONAL,1990-06-23,Ohio,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-06-26,Louisiana,1990
EPPLEY AIRFIELD,1990-06-26,Nebraska,1990
ATLANTIC CITY INTERNATIONAL,1990-06-27,New Jersey,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-06-28,Illinois,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-06-28,Texas,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-06-30,Illinois,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-07-01,Texas,1990
HONOLULU INTERNATIONAL AIRPORT,1990-07-03,Hawaii,1990
GEORGE BUSH INTERCONTINENTAL,1990-07-03,Texas,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-07-05,North Carolina,1990
CHARLESTON AFB/INTL AIRPORT,1990-07-06,South Carolina,1990
SACRAMENTO INTERNATIONAL,1990-07-06,California,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-07-07,Kentucky,1990
MINETA SAN JOSE INTERNATIONAL,1990-07-08,California,1990
SALT LAKE CITY INTERNATIONAL,1990-07-08,Utah,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-07-08,North Carolina,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-07-08,Illinois,1990
SEATTLE-TACOMA INTERNATIONAL,1990-07-09,Washington,1990
ATLANTA INTERNATIONAL,1990-07-10,Georgia,1990
MEMPHIS INTERNATIONAL,1990-07-10,Tennessee,1990
SALT LAKE CITY INTERNATIONAL,1990-07-11,Utah,1990
ATLANTA INTERNATIONAL,1990-07-11,Georgia,1990
SAN FRANCISCO INTERNATIONAL AIRPORT,1990-07-11,California,1990
CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1990-07-12,Ohio,1990
LIHUE AIRPORT,1990-07-13,Hawaii,1990
LOS ANGELES INTERNATIONAL,1990-07-13,California,1990
GREATER PITTSBURGH,1990-07-15,Pennsylvania,1990
NASHVILLE INTERNATIONAL,1990-07-15,Tennessee,1990
METRO OAKLAND INTERNATIONAL,1990-07-16,California,1990
KANSAS CITY INTERNATIONAL,1990-07-16,Missouri,1990
ATLANTIC CITY INTERNATIONAL,1990-07-16,New Jersey,1990
ATLANTIC CITY INTERNATIONAL,1990-07-16,New Jersey,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-07-17,Texas,1990
ATLANTIC CITY INTERNATIONAL,1990-07-17,New Jersey,1990
GREATER PITTSBURGH,1990-07-19,Pennsylvania,1990
ATLANTA INTERNATIONAL,1990-07-20,Georgia,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-07-21,New Jersey,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-07-22,Texas,1990
KANSAS CITY INTERNATIONAL,1990-07-23,Missouri,1990
ATLANTIC CITY INTERNATIONAL,1990-07-23,New Jersey,1990
CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1990-07-23,Ohio,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-07-24,Missouri,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-07-25,Kentucky,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-07-26,Illinois,1990
GEORGE BUSH INTERCONTINENTAL,1990-07-26,Texas,1990
HOUSTON-HOBBY,1990-07-28,Texas,1990
MINETA SAN JOSE INTERNATIONAL,1990-07-29,California,1990
ATLANTIC CITY INTERNATIONAL,1990-07-29,New Jersey,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-07-29,Texas,1990
PHILADELPHIA INTERNATIONAL,1990-07-30,Pennsylvania,1990
HOUSTON-HOBBY,1990-07-30,Texas,1990
HOUSTON-HOBBY,1990-07-31,Texas,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-08-01,Illinois,1990
PHILADELPHIA INTERNATIONAL,1990-08-01,Pennsylvania,1990
JOHN F KENNEDY INTERNATIONAL,1990-08-02,New York,1990
HOUSTON-HOBBY,1990-08-02,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-03,Texas,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-08-04,Louisiana,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-08-04,Illinois,1990
NASHVILLE INTERNATIONAL,1990-08-05,Tennessee,1990
BALTIMORE WASH INTERNATIONAL,1990-08-05,Maryland,1990
NASHVILLE INTERNATIONAL,1990-08-05,Tennessee,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-08-06,Louisiana,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-06,Texas,1990
HOUSTON-HOBBY,1990-08-06,Texas,1990
LOS ANGELES INTERNATIONAL,1990-08-09,California,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-09,Texas,1990
LOS ANGELES INTERNATIONAL,1990-08-09,California,1990
LOS ANGELES INTERNATIONAL,1990-08-10,California,1990
PHOENIX SKY HARBOR,1990-08-12,Arizona,1990
LOS ANGELES INTERNATIONAL,1990-08-12,California,1990
TETERBORO AIRPORT,1990-08-13,New Jersey,1990
SALT LAKE CITY INTERNATIONAL,1990-08-13,Utah,1990
NASHVILLE INTERNATIONAL,1990-08-15,Tennessee,1990
JOHN F KENNEDY INTERNATIONAL,1990-08-15,New York,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-08-16,North Carolina,1990
NASHVILLE INTERNATIONAL,1990-08-16,Tennessee,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-08-17,Louisiana,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-08-17,Illinois,1990
NASHVILLE INTERNATIONAL,1990-08-18,Tennessee,1990
MINNEAPOLIS-ST PAUL INTERNATIONAL,1990-08-18,Minnesota,1990
WILL ROGERS WORLD AIRPORT,1990-08-19,Oklahoma,1990
EPPLEY AIRFIELD,1990-08-19,Nebraska,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-20,Texas,1990
HOUSTON-HOBBY,1990-08-20,Texas,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-08-21,Illinois,1990
GREATER PITTSBURGH,1990-08-21,Pennsylvania,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-08-22,Kentucky,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-08-23,Louisiana,1990
INDIANAPOLIS INTERNATIONAL,1990-08-23,Indiana,1990
GREATER PITTSBURGH,1990-08-24,Pennsylvania,1990
HOUSTON-HOBBY,1990-08-24,Texas,1990
PHILADELPHIA INTERNATIONAL,1990-08-24,Pennsylvania,1990
PHILADELPHIA INTERNATIONAL,1990-08-24,Pennsylvania,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-08-25,Illinois,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-25,Texas,1990
MINETA SAN JOSE INTERNATIONAL,1990-08-25,California,1990
MINETA SAN JOSE INTERNATIONAL,1990-08-27,California,1990
MINETA SAN JOSE INTERNATIONAL,1990-08-27,California,1990
SALT LAKE CITY INTERNATIONAL,1990-08-27,Utah,1990
WILL ROGERS WORLD AIRPORT,1990-08-28,Oklahoma,1990
AUSTIN-BERGSTROM INTERNATIONAL,1990-08-28,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-28,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-28,Texas,1990
PORTLAND INTERNATIONAL (OR),1990-08-29,Oregon,1990
NEW ORLEANS INTERNATIONAL,1990-08-29,Louisiana,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-29,Texas,1990
NASHVILLE INTERNATIONAL,1990-08-30,Tennessee,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-30,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-30,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-31,Texas,1990
DETROIT METRO WAYNE COUNTY AIRPORT,1990-08-31,Michigan,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-08-31,Illinois,1990
JOHN F KENNEDY INTERNATIONAL,1990-08-31,New York,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-08-31,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-01,Texas,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-09-01,North Carolina,1990
DETROIT METRO WAYNE COUNTY AIRPORT,1990-09-01,Michigan,1990
HOUSTON-HOBBY,1990-09-03,Texas,1990
ATLANTA INTERNATIONAL,1990-09-04,Georgia,1990
GREATER PITTSBURGH,1990-09-05,Pennsylvania,1990
GREATER PITTSBURGH,1990-09-05,Pennsylvania,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-09-05,Illinois,1990
RONALD REAGAN WASHINGTON NATL,1990-09-06,DC,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-09-06,Illinois,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-09-06,Illinois,1990
NASHVILLE INTERNATIONAL,1990-09-06,Tennessee,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-09-07,Missouri,1990
SAN ANTONIO INTERNATIONAL,1990-09-07,Texas,1990
ATLANTIC CITY INTERNATIONAL,1990-09-07,New Jersey,1990
GREATER PITTSBURGH,1990-09-07,Pennsylvania,1990
GEORGE BUSH INTERCONTINENTAL,1990-09-09,Texas,1990
RONALD REAGAN WASHINGTON NATL,1990-09-10,DC,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-09-10,Illinois,1990
HONOLULU INTERNATIONAL AIRPORT,1990-09-10,Hawaii,1990
NEW ORLEANS INTERNATIONAL,1990-09-10,Louisiana,1990
PORTLAND INTERNATIONAL (OR),1990-09-10,Oregon,1990
ATLANTIC CITY INTERNATIONAL,1990-09-10,New Jersey,1990
INDIANAPOLIS INTERNATIONAL,1990-09-10,Indiana,1990
RONALD REAGAN WASHINGTON NATL,1990-09-10,DC,1990
LAGUARDIA NY,1990-09-10,New York,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-09-11,North Carolina,1990
GEORGE BUSH INTERCONTINENTAL,1990-09-12,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-12,Texas,1990
ATLANTA INTERNATIONAL,1990-09-12,Georgia,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-09-13,Kentucky,1990
GREATER PITTSBURGH,1990-09-13,Pennsylvania,1990
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1990-09-14,Kentucky,1990
PHILADELPHIA INTERNATIONAL,1990-09-14,Pennsylvania,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-09-14,Louisiana,1990
HOUSTON-HOBBY,1990-09-15,Texas,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-09-15,North Carolina,1990
LOS ANGELES INTERNATIONAL,1990-09-16,California,1990
PORT COLUMBUS INTERNATIONAL,1990-09-16,Ohio,1990
LAGUARDIA NY,1990-09-17,New York,1990
ATLANTA INTERNATIONAL,1990-09-17,Georgia,1990
NASHVILLE INTERNATIONAL,1990-09-17,Tennessee,1990
PORTLAND INTERNATIONAL (OR),1990-09-17,Oregon,1990
ATLANTIC CITY INTERNATIONAL,1990-09-18,New Jersey,1990
NASHVILLE INTERNATIONAL,1990-09-18,Tennessee,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-18,Texas,1990
MINETA SAN JOSE INTERNATIONAL,1990-09-18,California,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-09-20,Louisiana,1990
LOS ANGELES INTERNATIONAL,1990-09-20,California,1990
LAGUARDIA NY,1990-09-21,New York,1990
GEORGE BUSH INTERCONTINENTAL,1990-09-21,Texas,1990
SALT LAKE CITY INTERNATIONAL,1990-09-21,Utah,1990
MINETA SAN JOSE INTERNATIONAL,1990-09-21,California,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-22,Texas,1990
NASHVILLE INTERNATIONAL,1990-09-22,Tennessee,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-09-22,Missouri,1990
PORTLAND INTERNATIONAL (OR),1990-09-22,Oregon,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-22,Texas,1990
LIHUE AIRPORT,1990-09-23,Hawaii,1990
NEW ORLEANS INTERNATIONAL,1990-09-23,Louisiana,1990
NASHVILLE INTERNATIONAL,1990-09-24,Tennessee,1990
KANSAS CITY INTERNATIONAL,1990-09-24,Missouri,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-09-25,Louisiana,1990
DETROIT METRO WAYNE COUNTY AIRPORT,1990-09-25,Michigan,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-25,Texas,1990
NASHVILLE INTERNATIONAL,1990-09-25,Tennessee,1990
ATLANTIC CITY INTERNATIONAL,1990-09-26,New Jersey,1990
MINNEAPOLIS-ST PAUL INTERNATIONAL,1990-09-26,Minnesota,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-26,Texas,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-09-27,Louisiana,1990
NASHVILLE INTERNATIONAL,1990-09-27,Tennessee,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-09-27,New Jersey,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-09-27,Illinois,1990
JOHN F KENNEDY INTERNATIONAL,1990-09-27,New York,1990
SACRAMENTO INTERNATIONAL,1990-09-28,California,1990
SACRAMENTO INTERNATIONAL,1990-09-28,California,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-09-30,Texas,1990
SEATTLE-TACOMA INTERNATIONAL,1990-09-30,Washington,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-09-30,Kentucky,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-09-30,Illinois,1990
BALTIMORE WASH INTERNATIONAL,1990-09-30,Maryland,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-10-01,Louisiana,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-01,Texas,1990
ORLANDO INTERNATIONAL,1990-10-02,Florida,1990
NASHVILLE INTERNATIONAL,1990-10-04,Tennessee,1990
NEW ORLEANS INTERNATIONAL,1990-10-05,Louisiana,1990
HONOLULU INTERNATIONAL AIRPORT,1990-10-06,Hawaii,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-07,Texas,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-10-09,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-10-10,Louisiana,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-10-10,Louisiana,1990
JOHN F KENNEDY INTERNATIONAL,1990-10-10,New York,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-10-10,North Carolina,1990
MEMPHIS INTERNATIONAL,1990-10-10,Tennessee,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-11,Texas,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-11,Texas,1990
LOGAN INTERNATIONAL,1990-10-12,Massachusetts,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-12,Texas,1990
ATLANTA INTERNATIONAL,1990-10-12,Georgia,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-10-12,Illinois,1990
HONOLULU INTERNATIONAL AIRPORT,1990-10-12,Hawaii,1990
HONOLULU INTERNATIONAL AIRPORT,1990-10-13,Hawaii,1990
SAN ANTONIO INTERNATIONAL,1990-10-13,Texas,1990
LOGAN INTERNATIONAL,1990-10-14,Massachusetts,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-10-15,Louisiana,1990
LIHUE AIRPORT,1990-10-15,Hawaii,1990
