Airport Name,Flight Date,Origin State,year
GREATER PITTSBURGH,1991-12-30,Pennsylvania,1991
SEATTLE-TACOMA INTERNATIONAL,1991-12-31,Washington,1991
GREATER PITTSBURGH,1991-12-31,Pennsylvania,1991
SACRAMENTO INTERNATIONAL,1992-01-02,California,1992
ORLANDO INTERNATIONAL,1992-01-03,Florida,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-01-03,Texas,1992
SACRAMENTO INTERNATIONAL,1992-01-05,California,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-01-07,Kentucky,1992
CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1992-01-10,Ohio,1992
METRO OAKLAND INTERNATIONAL,1992-01-12,California,1992
SACRAMENTO INTERNATIONAL,1992-01-17,California,1992
LIHUE AIRPORT,1992-01-17,Hawaii,1992
LIHUE AIRPORT,1992-01-17,Hawaii,1992
SAN FRANCISCO INTERNATIONAL AIRPORT,1992-01-19,California,1992
NASHVILLE INTERNATIONAL,1992-01-20,Tennessee,1992
JOHN F KENNEDY INTERNATIONAL,1992-01-24,New York,1992
ORLANDO INTERNATIONAL,1992-01-24,Florida,1992
RONALD REAGAN WASHINGTON NATL,1992-01-25,DC,1992
HONOLULU INTERNATIONAL AIRPORT,1992-01-28,Hawaii,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-01-29,Texas,1992
SACRAMENTO INTERNATIONAL,1992-01-29,California,1992
LOS ANGELES INTERNATIONAL,1992-01-29,California,1992
GREATER PITTSBURGH,1992-01-30,Pennsylvania,1992
CHARLESTON AFB/INTL AIRPORT,1992-01-31,South Carolina,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-02-02,Texas,1992
LAGUARDIA NY,1992-02-04,New York,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-02-07,Kentucky,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-02-11,Texas,1992
MINETA SAN JOSE INTERNATIONAL,1992-02-15,California,1992
NEWARK LIBERTY INTERNATIONAL AIRPORT,1992-02-16,New Jersey,1992
SACRAMENTO INTERNATIONAL,1992-02-17,California,1992
LIHUE AIRPORT,1992-02-17,Hawaii,1992
RONALD REAGAN WASHINGTON NATL,1992-02-18,DC,1992
SAN FRANCISCO INTERNATIONAL AIRPORT,1992-02-18,California,1992
LIHUE AIRPORT,1992-02-18,Hawaii,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-02-20,Texas,1992
SAN FRANCISCO INTERNATIONAL AIRPORT,1992-02-21,California,1992
METRO OAKLAND INTERNATIONAL,1992-02-23,California,1992
CHARLESTON AFB/INTL AIRPORT,1992-02-28,South Carolina,1992
PHILADELPHIA INTERNATIONAL,1992-02-28,Pennsylvania,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-02-29,Illinois,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-03-04,Louisiana,1992
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1992-03-05,North Carolina,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-03-06,Illinois,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-03-06,Kentucky,1992
MINETA SAN JOSE INTERNATIONAL,1992-03-06,California,1992
NEWARK LIBERTY INTERNATIONAL AIRPORT,1992-03-08,New Jersey,1992
RONALD REAGAN WASHINGTON NATL,1992-03-09,DC,1992
GREATER PITTSBURGH,1992-03-09,Pennsylvania,1992
ORLANDO INTERNATIONAL,1992-03-09,Florida,1992
JOHN F KENNEDY INTERNATIONAL,1992-03-10,New York,1992
EPPLEY AIRFIELD,1992-03-11,Nebraska,1992
NEW ORLEANS INTERNATIONAL,1992-03-11,Louisiana,1992
SACRAMENTO INTERNATIONAL,1992-03-11,California,1992
JOHN F KENNEDY INTERNATIONAL,1992-03-15,New York,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-03-15,Illinois,1992
METRO OAKLAND INTERNATIONAL,1992-03-21,California,1992
PORT COLUMBUS INTERNATIONAL,1992-03-24,Ohio,1992
LOS ANGELES INTERNATIONAL,1992-03-24,California,1992
NASHVILLE INTERNATIONAL,1992-03-24,Tennessee,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-03-26,Louisiana,1992
METRO OAKLAND INTERNATIONAL,1992-03-27,California,1992
PHILADELPHIA INTERNATIONAL,1992-03-30,Pennsylvania,1992
SEATTLE-TACOMA INTERNATIONAL,1992-03-30,Washington,1992
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1992-03-31,North Carolina,1992
NASHVILLE INTERNATIONAL,1992-04-03,Tennessee,1992
LAGUARDIA NY,1992-04-03,New York,1992
WASHINGTON DULLES INTERNATIONAL AIRPORT,1992-04-06,DC,1992
HOUSTON-HOBBY,1992-04-07,Texas,1992
BALTIMORE WASH INTERNATIONAL,1992-04-08,Maryland,1992
SAN FRANCISCO INTERNATIONAL AIRPORT,1992-04-09,California,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-04-09,Illinois,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-09,Louisiana,1992
EPPLEY AIRFIELD,1992-04-09,Nebraska,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-10,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-11,Texas,1992
PHILADELPHIA INTERNATIONAL,1992-04-12,Pennsylvania,1992
NEW ORLEANS INTERNATIONAL,1992-04-13,Louisiana,1992
ATLANTA INTERNATIONAL,1992-04-13,Georgia,1992
PHOENIX SKY HARBOR,1992-04-13,Arizona,1992
NEWARK LIBERTY INTERNATIONAL AIRPORT,1992-04-13,New Jersey,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-04-14,Kentucky,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-14,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-14,Louisiana,1992
NASHVILLE INTERNATIONAL,1992-04-14,Tennessee,1992
LOGAN INTERNATIONAL,1992-04-15,Massachusetts,1992
JOHN F KENNEDY INTERNATIONAL,1992-04-16,New York,1992
ATLANTA INTERNATIONAL,1992-04-17,Georgia,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-04-17,Illinois,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-17,Texas,1992
BALTIMORE WASH INTERNATIONAL,1992-04-19,Maryland,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-19,Texas,1992
PHILADELPHIA INTERNATIONAL,1992-04-20,Pennsylvania,1992
METRO OAKLAND INTERNATIONAL,1992-04-20,California,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-21,Texas,1992
LOS ANGELES INTERNATIONAL,1992-04-21,California,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-21,Texas,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-22,Louisiana,1992
SAN ANTONIO INTERNATIONAL,1992-04-22,Texas,1992
KANSAS CITY INTERNATIONAL,1992-04-23,Missouri,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-23,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-23,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-23,Louisiana,1992
SAN ANTONIO INTERNATIONAL,1992-04-23,Texas,1992
FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1992-04-23,Florida,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-04-23,Kentucky,1992
LOS ANGELES INTERNATIONAL,1992-04-25,California,1992
JOHN F KENNEDY INTERNATIONAL,1992-04-25,New York,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-04-25,Texas,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-04-25,Illinois,1992
AUSTIN-BERGSTROM INTERNATIONAL,1992-04-27,Texas,1992
NEW ORLEANS INTERNATIONAL,1992-04-27,Louisiana,1992
NASHVILLE INTERNATIONAL,1992-04-27,Tennessee,1992
AUSTIN-BERGSTROM INTERNATIONAL,1992-04-27,Texas,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-28,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-28,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-29,Louisiana,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-04-30,Kentucky,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-30,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-04-30,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-05-01,Louisiana,1992
MEMPHIS INTERNATIONAL,1992-05-01,Tennessee,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-05-02,Illinois,1992
GREATER PITTSBURGH,1992-05-02,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-02,Texas,1992
EPPLEY AIRFIELD,1992-05-03,Nebraska,1992
MINETA SAN JOSE INTERNATIONAL,1992-05-03,California,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-05-06,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-05-06,Louisiana,1992
WILL ROGERS WORLD AIRPORT,1992-05-06,Oklahoma,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-07,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-07,Texas,1992
LAMBERT-ST LOUIS INTERNATIONAL,1992-05-07,Missouri,1992
NEW ORLEANS INTERNATIONAL,1992-05-08,Louisiana,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-08,Kentucky,1992
RONALD REAGAN WASHINGTON NATL,1992-05-08,DC,1992
RONALD REAGAN WASHINGTON NATL,1992-05-09,DC,1992
SAN ANTONIO INTERNATIONAL,1992-05-09,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-09,Texas,1992
SALT LAKE CITY INTERNATIONAL,1992-05-09,Utah,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-09,Texas,1992
JOHN F KENNEDY INTERNATIONAL,1992-05-11,New York,1992
SACRAMENTO INTERNATIONAL,1992-05-11,California,1992
LAGUARDIA NY,1992-05-11,New York,1992
GREATER PITTSBURGH,1992-05-12,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-12,Texas,1992
ATLANTA INTERNATIONAL,1992-05-12,Georgia,1992
PHOENIX SKY HARBOR,1992-05-13,Arizona,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-05-13,Louisiana,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-13,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-13,Texas,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-13,Kentucky,1992
ATLANTA INTERNATIONAL,1992-05-14,Georgia,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-14,Texas,1992
JOHN F KENNEDY INTERNATIONAL,1992-05-14,New York,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-15,Kentucky,1992
LAMBERT-ST LOUIS INTERNATIONAL,1992-05-15,Missouri,1992
PORTLAND INTERNATIONAL (OR),1992-05-16,Oregon,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-05-16,Illinois,1992
RONALD REAGAN WASHINGTON NATL,1992-05-17,DC,1992
HOUSTON-HOBBY,1992-05-17,Texas,1992
WILL ROGERS WORLD AIRPORT,1992-05-17,Oklahoma,1992
MEMPHIS INTERNATIONAL,1992-05-18,Tennessee,1992
LAGUARDIA NY,1992-05-18,New York,1992
SALT LAKE CITY INTERNATIONAL,1992-05-19,Utah,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-20,Texas,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-05-20,Louisiana,1992
PHILADELPHIA INTERNATIONAL,1992-05-20,Pennsylvania,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-21,Kentucky,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-21,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-21,Texas,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-21,Kentucky,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-21,Texas,1992
ATLANTIC CITY INTERNATIONAL,1992-05-22,New Jersey,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-05-22,Illinois,1992
ORLANDO INTERNATIONAL,1992-05-24,Florida,1992
NASHVILLE INTERNATIONAL,1992-05-25,Tennessee,1992
NASHVILLE INTERNATIONAL,1992-05-25,Tennessee,1992
ATLANTIC CITY INTERNATIONAL,1992-05-25,New Jersey,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-25,Texas,1992
MINETA SAN JOSE INTERNATIONAL,1992-05-25,California,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-26,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-26,Texas,1992
EPPLEY AIRFIELD,1992-05-27,Nebraska,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-27,Texas,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-05-27,Louisiana,1992
RONALD REAGAN WASHINGTON NATL,1992-05-27,DC,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-05-27,Kentucky,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-27,Kentucky,1992
NASHVILLE INTERNATIONAL,1992-05-27,Tennessee,1992
PORTLAND INTERNATIONAL (OR),1992-05-28,Oregon,1992
SALT LAKE CITY INTERNATIONAL,1992-05-28,Utah,1992
NASHVILLE INTERNATIONAL,1992-05-28,Tennessee,1992
MINETA SAN JOSE INTERNATIONAL,1992-05-28,California,1992
GREATER PITTSBURGH,1992-05-28,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-28,Texas,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-05-28,Kentucky,1992
LAGUARDIA NY,1992-05-29,New York,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-29,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-05-30,Texas,1992
SAN FRANCISCO INTERNATIONAL AIRPORT,1992-05-30,California,1992
KANSAS CITY INTERNATIONAL,1992-05-30,Missouri,1992
EPPLEY AIRFIELD,1992-05-30,Nebraska,1992
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1992-05-30,North Carolina,1992
LIHUE AIRPORT,1992-05-30,Hawaii,1992
DETROIT METRO WAYNE COUNTY AIRPORT,1992-06-01,Michigan,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-06-01,Kentucky,1992
NASHVILLE INTERNATIONAL,1992-06-01,Tennessee,1992
CHARLESTON AFB/INTL AIRPORT,1992-06-02,South Carolina,1992
NASHVILLE INTERNATIONAL,1992-06-02,Tennessee,1992
BALTIMORE WASH INTERNATIONAL,1992-06-02,Maryland,1992
PORT COLUMBUS INTERNATIONAL,1992-06-03,Ohio,1992
SEATTLE-TACOMA INTERNATIONAL,1992-06-04,Washington,1992
DETROIT METRO WAYNE COUNTY AIRPORT,1992-06-04,Michigan,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-06-05,Illinois,1992
NASHVILLE INTERNATIONAL,1992-06-05,Tennessee,1992
RONALD REAGAN WASHINGTON NATL,1992-06-05,DC,1992
GREATER PITTSBURGH,1992-06-06,Pennsylvania,1992
NASHVILLE INTERNATIONAL,1992-06-07,Tennessee,1992
MINETA SAN JOSE INTERNATIONAL,1992-06-07,California,1992
PORT COLUMBUS INTERNATIONAL,1992-06-08,Ohio,1992
SALT LAKE CITY INTERNATIONAL,1992-06-09,Utah,1992
SAN ANTONIO INTERNATIONAL,1992-06-09,Texas,1992
SAN ANTONIO INTERNATIONAL,1992-06-09,Texas,1992
NASHVILLE INTERNATIONAL,1992-06-09,Tennessee,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-11,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-11,Texas,1992
MINETA SAN JOSE INTERNATIONAL,1992-06-11,California,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-11,Texas,1992
BALTIMORE WASH INTERNATIONAL,1992-06-12,Maryland,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-06-12,Kentucky,1992
HOUSTON-HOBBY,1992-06-13,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-14,Texas,1992
SALT LAKE CITY INTERNATIONAL,1992-06-14,Utah,1992
PHILADELPHIA INTERNATIONAL,1992-06-14,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-15,Texas,1992
GREATER PITTSBURGH,1992-06-15,Pennsylvania,1992
GREATER PITTSBURGH,1992-06-15,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-15,Texas,1992
PORTLAND INTERNATIONAL (OR),1992-06-15,Oregon,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-15,Texas,1992
MINETA SAN JOSE INTERNATIONAL,1992-06-16,California,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-06-16,Louisiana,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-06-16,Kentucky,1992
MINETA SAN JOSE INTERNATIONAL,1992-06-16,California,1992
PORT COLUMBUS INTERNATIONAL,1992-06-16,Ohio,1992
MINNEAPOLIS-ST PAUL INTERNATIONAL,1992-06-16,Minnesota,1992
LAGUARDIA NY,1992-06-16,New York,1992
NASHVILLE INTERNATIONAL,1992-06-18,Tennessee,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-19,Texas,1992
AUSTIN-BERGSTROM INTERNATIONAL,1992-06-19,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-20,Texas,1992
LOGAN INTERNATIONAL,1992-06-20,Massachusetts,1992
ORLANDO INTERNATIONAL,1992-06-21,Florida,1992
NEW ORLEANS INTERNATIONAL,1992-06-21,Louisiana,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-06-21,Kentucky,1992
ATLANTA INTERNATIONAL,1992-06-22,Georgia,1992
BALTIMORE WASH INTERNATIONAL,1992-06-22,Maryland,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-22,Texas,1992
GREATER PITTSBURGH,1992-06-23,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-24,Texas,1992
LAMBERT-ST LOUIS INTERNATIONAL,1992-06-25,Missouri,1992
LOS ANGELES INTERNATIONAL,1992-06-25,California,1992
PORT COLUMBUS INTERNATIONAL,1992-06-25,Ohio,1992
SAN ANTONIO INTERNATIONAL,1992-06-25,Texas,1992
MINETA SAN JOSE INTERNATIONAL,1992-06-26,California,1992
NEW ORLEANS INTERNATIONAL,1992-06-27,Louisiana,1992
JOHN F KENNEDY INTERNATIONAL,1992-06-27,New York,1992
GEORGE BUSH INTERCONTINENTAL,1992-06-29,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-06-30,Texas,1992
EPPLEY AIRFIELD,1992-07-01,Nebraska,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-07-01,Louisiana,1992
LOGAN INTERNATIONAL,1992-07-01,Massachusetts,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-07-03,Kentucky,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-07-03,Kentucky,1992
GEORGE BUSH INTERCONTINENTAL,1992-07-04,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-07-06,Texas,1992
NEW ORLEANS INTERNATIONAL,1992-07-07,Louisiana,1992
NEW ORLEANS INTERNATIONAL,1992-07-07,Louisiana,1992
EPPLEY AIRFIELD,1992-07-08,Nebraska,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-07-08,Kentucky,1992
GREATER PITTSBURGH,1992-07-08,Pennsylvania,1992
NASHVILLE INTERNATIONAL,1992-07-09,Tennessee,1992
SAN ANTONIO INTERNATIONAL,1992-07-10,Texas,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-07-10,Illinois,1992
HOUSTON-HOBBY,1992-07-10,Texas,1992
CHARLESTON AFB/INTL AIRPORT,1992-07-10,South Carolina,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-07-10,Texas,1992
LIHUE AIRPORT,1992-07-10,Hawaii,1992
LAGUARDIA NY,1992-07-11,New York,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-07-12,Texas,1992
CHARLESTON AFB/INTL AIRPORT,1992-07-12,South Carolina,1992
AUSTIN-BERGSTROM INTERNATIONAL,1992-07-14,Texas,1992
LOS ANGELES INTERNATIONAL,1992-07-14,California,1992
LOS ANGELES INTERNATIONAL,1992-07-15,California,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-07-15,Kentucky,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-07-16,Illinois,1992
MEMPHIS INTERNATIONAL,1992-07-16,Tennessee,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-07-16,Illinois,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-07-17,Louisiana,1992
GREATER PITTSBURGH,1992-07-18,Pennsylvania,1992
INDIANAPOLIS INTERNATIONAL,1992-07-18,Indiana,1992
MEMPHIS INTERNATIONAL,1992-07-19,Tennessee,1992
SALT LAKE CITY INTERNATIONAL,1992-07-19,Utah,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-07-20,Louisiana,1992
LOGAN INTERNATIONAL,1992-07-21,Massachusetts,1992
ATLANTIC CITY INTERNATIONAL,1992-07-22,New Jersey,1992
SALT LAKE CITY INTERNATIONAL,1992-07-23,Utah,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-07-23,Kentucky,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-07-23,Illinois,1992
HONOLULU INTERNATIONAL AIRPORT,1992-07-24,Hawaii,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-07-24,Louisiana,1992
EPPLEY AIRFIELD,1992-07-24,Nebraska,1992
LOS ANGELES INTERNATIONAL,1992-07-25,California,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-07-25,Kentucky,1992
NEWARK LIBERTY INTERNATIONAL AIRPORT,1992-07-25,New Jersey,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-07-26,Illinois,1992
BALTIMORE WASH INTERNATIONAL,1992-07-26,Maryland,1992
DETROIT METRO WAYNE COUNTY AIRPORT,1992-07-27,Michigan,1992
SACRAMENTO INTERNATIONAL,1992-07-27,California,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-07-28,Louisiana,1992
DETROIT METRO WAYNE COUNTY AIRPORT,1992-07-28,Michigan,1992
PORT COLUMBUS INTERNATIONAL,1992-07-28,Ohio,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-07-28,Texas,1992
EPPLEY AIRFIELD,1992-07-29,Nebraska,1992
PORT COLUMBUS INTERNATIONAL,1992-07-29,Ohio,1992
GREATER PITTSBURGH,1992-07-30,Pennsylvania,1992
CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1992-07-31,Ohio,1992
GREATER PITTSBURGH,1992-07-31,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-07-31,Texas,1992
SALT LAKE CITY INTERNATIONAL,1992-08-01,Utah,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-08-01,Illinois,1992
NEWARK LIBERTY INTERNATIONAL AIRPORT,1992-08-01,New Jersey,1992
LOUISVILLE INTERNATIONAL AIRPORT,1992-08-02,Kentucky,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-08-03,Illinois,1992
SAN ANTONIO INTERNATIONAL,1992-08-03,Texas,1992
GREATER PITTSBURGH,1992-08-03,Pennsylvania,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-08-04,Louisiana,1992
NASHVILLE INTERNATIONAL,1992-08-05,Tennessee,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-05,Texas,1992
KANSAS CITY INTERNATIONAL,1992-08-05,Missouri,1992
KANSAS CITY INTERNATIONAL,1992-08-05,Missouri,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-05,Texas,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-08-06,Louisiana,1992
ATLANTIC CITY INTERNATIONAL,1992-08-06,New Jersey,1992
GREATER PITTSBURGH,1992-08-07,Pennsylvania,1992
SALT LAKE CITY INTERNATIONAL,1992-08-07,Utah,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-07,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-07,Texas,1992
CHARLESTON AFB/INTL AIRPORT,1992-08-08,South Carolina,1992
NEW ORLEANS INTERNATIONAL,1992-08-08,Louisiana,1992
SALT LAKE CITY INTERNATIONAL,1992-08-08,Utah,1992
BALTIMORE WASH INTERNATIONAL,1992-08-08,Maryland,1992
DETROIT METRO WAYNE COUNTY AIRPORT,1992-08-08,Michigan,1992
NASHVILLE INTERNATIONAL,1992-08-08,Tennessee,1992
GREATER PITTSBURGH,1992-08-10,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-10,Texas,1992
CHICAGO O'HARE INTERNATIONAL AIRPORT,1992-08-10,Illinois,1992
WILL ROGERS WORLD AIRPORT,1992-08-11,Oklahoma,1992
NASHVILLE INTERNATIONAL,1992-08-12,Tennessee,1992
SALT LAKE CITY INTERNATIONAL,1992-08-12,Utah,1992
SALT LAKE CITY INTERNATIONAL,1992-08-13,Utah,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-08-13,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-08-13,Louisiana,1992
BARKSDALE AIR FORCE BASE AIRPORT,1992-08-13,Louisiana,1992
SALT LAKE CITY INTERNATIONAL,1992-08-14,Utah,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-14,Texas,1992
PORT COLUMBUS INTERNATIONAL,1992-08-14,Ohio,1992
GREATER PITTSBURGH,1992-08-14,Pennsylvania,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-15,Texas,1992
SEATTLE-TACOMA INTERNATIONAL,1992-08-15,Washington,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-15,Texas,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-15,Texas,1992
MEMPHIS INTERNATIONAL,1992-08-16,Tennessee,1992
NASHVILLE INTERNATIONAL,1992-08-16,Tennessee,1992
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1992-08-16,Texas,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-08-17,Kentucky,1992
CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992-08-17,Kentucky,1992
NASHVILLE INTERNATIONAL,1992-08-17,Tennessee,1992
