Airport Name,Flight Date,Origin State,Phase of flight,Time of day
NEW ORLEANS INTL,30-05-90,Louisiana,Approach,Day
LAMBERT-ST LOUIS INTL,30-05-90,Missouri,Landing Roll,Day
LAMBERT-ST LOUIS INTL,31-05-90,Missouri,Approach,Day
LOUISVILLE INTL ARPT,31-05-90,Kentucky,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,01-06-90,Louisiana,Approach,Day
DALLAS/FORT WORTH INTL ARPT,01-06-90,Texas,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,04-06-90,Texas,Descent,Night
WILL ROGERS WORLD ARPT,05-06-90,Oklahoma,Climb,Day
LAMBERT-ST LOUIS INTL,06-06-90,Missouri,Approach,Night
GREATER PITTSBURGH,07-06-90,Pennsylvania,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,07-06-90,Louisiana,Take-off run,Day
CHICAGO O'HARE INTL ARPT,07-06-90,Illinois,Approach,Day
METRO OAKLAND INTL,08-06-90,California,Approach,Day
NASHVILLE INTL,09-06-90,Tennessee,Approach,Day
BALTIMORE WASH INTL,09-06-90,Maryland,Take-off run,Day
GREATER PITTSBURGH,11-06-90,Pennsylvania,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,12-06-90,Louisiana,Take-off run,Day
WILL ROGERS WORLD ARPT,12-06-90,Oklahoma,Approach,Day
SAN ANTONIO INTL,14-06-90,Texas,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,14-06-90,Kentucky,Landing Roll,Day
NASHVILLE INTL,14-06-90,Tennessee,Landing Roll,Dusk
WILL ROGERS WORLD ARPT,17-06-90,Oklahoma,Climb,Night
LOGAN INTL,18-06-90,Massachusetts,Approach,Dawn
BARKSDALE AIR FORCE BASE ARPT,19-06-90,Louisiana,Take-off run,Night
GREATER PITTSBURGH,19-06-90,Pennsylvania,Approach,Day
SAN FRANCISCO INTL ARPT,20-06-90,California,Take-off run,Day
ORLANDO INTL,21-06-90,Florida,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,22-06-90,Louisiana,Approach,Day
HOUSTON-HOBBY,23-06-90,Texas,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,23-06-90,Ohio,Landing Roll,Day
CLEVELAND-HOPKINS INTL ARPT,23-06-90,Ohio,Landing Roll,Day
MINETA SAN JOSE INTL,23-06-90,California,Take-off run,Dusk
PORT COLUMBUS INTL,23-06-90,Ohio,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,26-06-90,Louisiana,Climb,Night
EPPLEY AIRFIELD,26-06-90,Nebraska,Approach,Day
ATLANTIC CITY INTL,27-06-90,New Jersey,Landing Roll,Day
CHICAGO O'HARE INTL ARPT,28-06-90,Illinois,Approach,Day
DALLAS/FORT WORTH INTL ARPT,28-06-90,Texas,Approach,Night
CHICAGO O'HARE INTL ARPT,30-06-90,Illinois,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,01-07-90,Texas,Approach,Day
HONOLULU INTL ARPT,03-07-90,Hawaii,Approach,Night
GEORGE BUSH INTERCONTINENTAL,03-07-90,Texas,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,05-07-90,North Carolina,Approach,Day
CHARLESTON AFB/INTL ARPT,06-07-90,South Carolina,Take-off run,Day
SACRAMENTO INTL,06-07-90,California,Approach,Day
LOUISVILLE INTL ARPT,07-07-90,Kentucky,Take-off run,Day
MINETA SAN JOSE INTL,08-07-90,California,Take-off run,Day
SALT LAKE CITY INTL,08-07-90,Utah,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,08-07-90,North Carolina,Approach,Day
CHICAGO O'HARE INTL ARPT,08-07-90,Illinois,Climb,Day
SEATTLE-TACOMA INTL,09-07-90,Washington,Climb,Day
ATLANTA INTL,10-07-90,Georgia,Approach,Day
MEMPHIS INTL,10-07-90,Tennessee,Approach,Night
SALT LAKE CITY INTL,11-07-90,Utah,Descent,Day
ATLANTA INTL,11-07-90,Georgia,Landing Roll,Dawn
SAN FRANCISCO INTL ARPT,11-07-90,California,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,12-07-90,Ohio,Approach,Day
LIHUE ARPT,13-07-90,Hawaii,Take-off run,Dawn
LOS ANGELES INTL,13-07-90,California,Landing Roll,Day
GREATER PITTSBURGH,15-07-90,Pennsylvania,Approach,Night
NASHVILLE INTL,15-07-90,Tennessee,Landing Roll,Dusk
METRO OAKLAND INTL,16-07-90,California,Climb,Dusk
KANSAS CITY INTL,16-07-90,Missouri,Approach,Day
ATLANTIC CITY INTL,16-07-90,New Jersey,Climb,Day
ATLANTIC CITY INTL,16-07-90,New Jersey,Climb,Day
DALLAS/FORT WORTH INTL ARPT,17-07-90,Texas,Approach,Day
ATLANTIC CITY INTL,17-07-90,New Jersey,Take-off run,Day
GREATER PITTSBURGH,19-07-90,Pennsylvania,Take-off run,Day
ATLANTA INTL,20-07-90,Georgia,Climb,Day
NEWARK LIBERTY INTL ARPT,21-07-90,New Jersey,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,22-07-90,Texas,Approach,Day
KANSAS CITY INTL,23-07-90,Missouri,Landing Roll,Night
ATLANTIC CITY INTL,23-07-90,New Jersey,Take-off run,Night
CLEVELAND-HOPKINS INTL ARPT,23-07-90,Ohio,Climb,Day
LAMBERT-ST LOUIS INTL,24-07-90,Missouri,Climb,Day
LOUISVILLE INTL ARPT,25-07-90,Kentucky,Approach,Day
CHICAGO O'HARE INTL ARPT,26-07-90,Illinois,Approach,Day
GEORGE BUSH INTERCONTINENTAL,26-07-90,Texas,Approach,Day
HOUSTON-HOBBY,28-07-90,Texas,Take-off run,Day
MINETA SAN JOSE INTL,29-07-90,California,Approach,Day
ATLANTIC CITY INTL,29-07-90,New Jersey,Climb,Day
DALLAS/FORT WORTH INTL ARPT,29-07-90,Texas,Climb,Day
PHILADELPHIA INTL,30-07-90,Pennsylvania,Approach,Day
HOUSTON-HOBBY,30-07-90,Texas,Approach,Day
HOUSTON-HOBBY,31-07-90,Texas,Climb,Day
CHICAGO O'HARE INTL ARPT,01-08-90,Illinois,Approach,Day
PHILADELPHIA INTL,01-08-90,Pennsylvania,Approach,Night
JOHN F KENNEDY INTL,02-08-90,New York,Approach,Day
HOUSTON-HOBBY,02-08-90,Texas,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,03-08-90,Texas,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,04-08-90,Louisiana,Approach,Day
CHICAGO O'HARE INTL ARPT,04-08-90,Illinois,Climb,Night
NASHVILLE INTL,05-08-90,Tennessee,Approach,Day
BALTIMORE WASH INTL,05-08-90,Maryland,Landing Roll,Day
NASHVILLE INTL,05-08-90,Tennessee,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,06-08-90,Louisiana,Approach,Day
DALLAS/FORT WORTH INTL ARPT,06-08-90,Texas,Landing Roll,Day
HOUSTON-HOBBY,06-08-90,Texas,Take-off run,Day
LOS ANGELES INTL,09-08-90,California,Climb,Day
DALLAS/FORT WORTH INTL ARPT,09-08-90,Texas,Approach,Day
LOS ANGELES INTL,09-08-90,California,Landing Roll,Day
LOS ANGELES INTL,10-08-90,California,Approach,Night
PHOENIX SKY HARBOR,12-08-90,Arizona,Climb,Day
LOS ANGELES INTL,12-08-90,California,Approach,Night
TETERBORO AIRPORT,13-08-90,New Jersey,Take-off run,Night
SALT LAKE CITY INTL,13-08-90,Utah,Climb,Day
NASHVILLE INTL,15-08-90,Tennessee,Approach,Day
JOHN F KENNEDY INTL,15-08-90,New York,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,16-08-90,North Carolina,Approach,Day
NASHVILLE INTL,16-08-90,Tennessee,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,17-08-90,Louisiana,Approach,Day
CHICAGO O'HARE INTL ARPT,17-08-90,Illinois,Approach,Night
NASHVILLE INTL,18-08-90,Tennessee,Approach,Day
MINNEAPOLIS-ST PAUL INTL,18-08-90,Minnesota,Landing Roll,Day
WILL ROGERS WORLD ARPT,19-08-90,Oklahoma,Climb,Day
EPPLEY AIRFIELD,19-08-90,Nebraska,Approach,Day
DALLAS/FORT WORTH INTL ARPT,20-08-90,Texas,Approach,Night
HOUSTON-HOBBY,20-08-90,Texas,Descent,Night
CHICAGO O'HARE INTL ARPT,21-08-90,Illinois,Climb,Day
GREATER PITTSBURGH,21-08-90,Pennsylvania,Take-off run,Day
LOUISVILLE INTL ARPT,22-08-90,Kentucky,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,23-08-90,Louisiana,Approach,Night
INDIANAPOLIS INTL,23-08-90,Indiana,Take-off run,Day
GREATER PITTSBURGH,24-08-90,Pennsylvania,Approach,Night
HOUSTON-HOBBY,24-08-90,Texas,Climb,Day
PHILADELPHIA INTL,24-08-90,Pennsylvania,Approach,Day
PHILADELPHIA INTL,24-08-90,Pennsylvania,Approach,Day
CHICAGO O'HARE INTL ARPT,25-08-90,Illinois,Approach,Day
DALLAS/FORT WORTH INTL ARPT,25-08-90,Texas,Approach,Day
MINETA SAN JOSE INTL,25-08-90,California,Approach,Night
MINETA SAN JOSE INTL,27-08-90,California,Climb,Day
MINETA SAN JOSE INTL,27-08-90,California,Take-off run,Day
SALT LAKE CITY INTL,27-08-90,Utah,Climb,Night
WILL ROGERS WORLD ARPT,28-08-90,Oklahoma,Descent,Night
AUSTIN-BERGSTROM INTL,28-08-90,Texas,Climb,Night
DALLAS/FORT WORTH INTL ARPT,28-08-90,Texas,Climb,Day
DALLAS/FORT WORTH INTL ARPT,28-08-90,Texas,Climb,Day
PORTLAND INTL (OR),29-08-90,Oregon,Approach,Day
NEW ORLEANS INTL,29-08-90,Louisiana,Climb,Day
DALLAS/FORT WORTH INTL ARPT,29-08-90,Texas,Approach,Night
NASHVILLE INTL,30-08-90,Tennessee,Approach,Day
DALLAS/FORT WORTH INTL ARPT,30-08-90,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,30-08-90,Texas,Climb,Day
DALLAS/FORT WORTH INTL ARPT,31-08-90,Texas,Descent,Day
DETROIT METRO WAYNE COUNTY ARPT,31-08-90,Michigan,Approach,Dusk
CHICAGO O'HARE INTL ARPT,31-08-90,Illinois,Approach,Night
JOHN F KENNEDY INTL,31-08-90,New York,Approach,Night
DALLAS/FORT WORTH INTL ARPT,31-08-90,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,01-09-90,Texas,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,01-09-90,North Carolina,Take-off run,Dusk
DETROIT METRO WAYNE COUNTY ARPT,01-09-90,Michigan,Take-off run,Day
HOUSTON-HOBBY,03-09-90,Texas,Approach,Night
ATLANTA INTL,04-09-90,Georgia,Climb,Day
GREATER PITTSBURGH,05-09-90,Pennsylvania,Approach,Day
GREATER PITTSBURGH,05-09-90,Pennsylvania,Take-off run,Day
CHICAGO O'HARE INTL ARPT,05-09-90,Illinois,Approach,Dusk
RONALD REAGAN WASHINGTON NATL,06-09-90,DC,Climb,Day
CHICAGO O'HARE INTL ARPT,06-09-90,Illinois,Climb,Day
CHICAGO O'HARE INTL ARPT,06-09-90,Illinois,Climb,Day
NASHVILLE INTL,06-09-90,Tennessee,Approach,Dusk
LAMBERT-ST LOUIS INTL,07-09-90,Missouri,Approach,Night
SAN ANTONIO INTL,07-09-90,Texas,Approach,Night
ATLANTIC CITY INTL,07-09-90,New Jersey,Landing Roll,Day
GREATER PITTSBURGH,07-09-90,Pennsylvania,Take-off run,Day
GEORGE BUSH INTERCONTINENTAL,09-09-90,Texas,Approach,Dusk
RONALD REAGAN WASHINGTON NATL,10-09-90,DC,Approach,Day
CHICAGO O'HARE INTL ARPT,10-09-90,Illinois,Approach,Day
HONOLULU INTL ARPT,10-09-90,Hawaii,Approach,Night
NEW ORLEANS INTL,10-09-90,Louisiana,Approach,Day
PORTLAND INTL (OR),10-09-90,Oregon,Approach,Day
ATLANTIC CITY INTL,10-09-90,New Jersey,Landing Roll,Day
INDIANAPOLIS INTL,10-09-90,Indiana,Take-off run,Day
RONALD REAGAN WASHINGTON NATL,10-09-90,DC,Approach,Night
LAGUARDIA NY,10-09-90,New York,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,11-09-90,North Carolina,Approach,Night
GEORGE BUSH INTERCONTINENTAL,12-09-90,Texas,Approach,Dawn
DALLAS/FORT WORTH INTL ARPT,12-09-90,Texas,Approach,Day
ATLANTA INTL,12-09-90,Georgia,Approach,Night
LOUISVILLE INTL ARPT,13-09-90,Kentucky,Climb,Night
GREATER PITTSBURGH,13-09-90,Pennsylvania,Take-off run,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,14-09-90,Kentucky,Approach,Day
PHILADELPHIA INTL,14-09-90,Pennsylvania,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,14-09-90,Louisiana,Climb,Day
HOUSTON-HOBBY,15-09-90,Texas,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,15-09-90,North Carolina,Climb,Day
LOS ANGELES INTL,16-09-90,California,Climb,Day
PORT COLUMBUS INTL,16-09-90,Ohio,Approach,Day
LAGUARDIA NY,17-09-90,New York,Climb,Day
ATLANTA INTL,17-09-90,Georgia,Approach,Night
NASHVILLE INTL,17-09-90,Tennessee,Approach,Night
PORTLAND INTL (OR),17-09-90,Oregon,Climb,Day
ATLANTIC CITY INTL,18-09-90,New Jersey,Landing Roll,Night
NASHVILLE INTL,18-09-90,Tennessee,Approach,Day
DALLAS/FORT WORTH INTL ARPT,18-09-90,Texas,Approach,Day
MINETA SAN JOSE INTL,18-09-90,California,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,20-09-90,Louisiana,Take-off run,Day
LOS ANGELES INTL,20-09-90,California,Landing Roll,Day
LAGUARDIA NY,21-09-90,New York,Approach,Dusk
GEORGE BUSH INTERCONTINENTAL,21-09-90,Texas,Climb,Day
SALT LAKE CITY INTL,21-09-90,Utah,Take-off run,Day
MINETA SAN JOSE INTL,21-09-90,California,Taxi,Day
DALLAS/FORT WORTH INTL ARPT,22-09-90,Texas,Approach,Night
NASHVILLE INTL,22-09-90,Tennessee,Climb,Night
LAMBERT-ST LOUIS INTL,22-09-90,Missouri,Take-off run,Day
PORTLAND INTL (OR),22-09-90,Oregon,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,22-09-90,Texas,Approach,Night
LIHUE ARPT,23-09-90,Hawaii,Descent,Day
NEW ORLEANS INTL,23-09-90,Louisiana,Approach,Night
NASHVILLE INTL,24-09-90,Tennessee,Approach,Dusk
KANSAS CITY INTL,24-09-90,Missouri,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,25-09-90,Louisiana,Approach,Night
DETROIT METRO WAYNE COUNTY ARPT,25-09-90,Michigan,Approach,Day
DALLAS/FORT WORTH INTL ARPT,25-09-90,Texas,Approach,Day
NASHVILLE INTL,25-09-90,Tennessee,Approach,Dusk
ATLANTIC CITY INTL,26-09-90,New Jersey,Climb,Day
MINNEAPOLIS-ST PAUL INTL,26-09-90,Minnesota,Approach,Day
DALLAS/FORT WORTH INTL ARPT,26-09-90,Texas,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,27-09-90,Louisiana,Approach,Day
NASHVILLE INTL,27-09-90,Tennessee,Climb,Night
NEWARK LIBERTY INTL ARPT,27-09-90,New Jersey,Descent,Night
CHICAGO O'HARE INTL ARPT,27-09-90,Illinois,Approach,Day
JOHN F KENNEDY INTL,27-09-90,New York,Approach,Day
SACRAMENTO INTL,28-09-90,California,Approach,Night
SACRAMENTO INTL,28-09-90,California,Approach,Night
DALLAS/FORT WORTH INTL ARPT,30-09-90,Texas,Approach,Day
SEATTLE-TACOMA INTL,30-09-90,Washington,Approach,Dusk
LOUISVILLE INTL ARPT,30-09-90,Kentucky,Approach,Night
CHICAGO O'HARE INTL ARPT,30-09-90,Illinois,Descent,Night
BALTIMORE WASH INTL,30-09-90,Maryland,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,01-10-90,Louisiana,Approach,Day
DALLAS/FORT WORTH INTL ARPT,01-10-90,Texas,Approach,Day
ORLANDO INTL,02-10-90,Florida,Approach,Night
NASHVILLE INTL,04-10-90,Tennessee,Approach,Day
NEW ORLEANS INTL,05-10-90,Louisiana,Approach,Night
HONOLULU INTL ARPT,06-10-90,Hawaii,Approach,Night
DALLAS/FORT WORTH INTL ARPT,07-10-90,Texas,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,09-10-90,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,10-10-90,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,10-10-90,Louisiana,Approach,Night
JOHN F KENNEDY INTL,10-10-90,New York,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,10-10-90,North Carolina,Landing Roll,Day
MEMPHIS INTL,10-10-90,Tennessee,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,11-10-90,Texas,Descent,Night
DALLAS/FORT WORTH INTL ARPT,11-10-90,Texas,Take-off run,Day
LOGAN INTL,12-10-90,Massachusetts,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,12-10-90,Texas,Climb,Day
ATLANTA INTL,12-10-90,Georgia,Approach,Night
CHICAGO O'HARE INTL ARPT,12-10-90,Illinois,Approach,Night
HONOLULU INTL ARPT,12-10-90,Hawaii,Take-off run,Night
HONOLULU INTL ARPT,13-10-90,Hawaii,Landing Roll,Day
SAN ANTONIO INTL,13-10-90,Texas,Climb,Night
LOGAN INTL,14-10-90,Massachusetts,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,15-10-90,Louisiana,Approach,Day
LIHUE ARPT,15-10-90,Hawaii,Take-off run,Day
BALTIMORE WASH INTL,15-10-90,Maryland,Descent,Night
