Airport Name,Flight Date,Origin State,Phase of flight,Time of day
DALLAS/FORT WORTH INTL ARPT,18-12-92,Texas,Landing Roll,Day
HONOLULU INTL ARPT,19-12-92,Hawaii,Landing Roll,Night
SAN FRANCISCO INTL ARPT,20-12-92,California,Approach,Day
DALLAS/FORT WORTH INTL ARPT,21-12-92,Texas,Approach,Dawn
ORLANDO INTL,22-12-92,Florida,Climb,Day
DALLAS/FORT WORTH INTL ARPT,22-12-92,Texas,Take-off run,Day
ORLANDO INTL,22-12-92,Florida,Approach,Day
DALLAS/FORT WORTH INTL ARPT,23-12-92,Texas,Climb,Day
LAGUARDIA NY,27-12-92,New York,Take-off run,Day
NEW ORLEANS INTL,27-12-92,Louisiana,Take-off run,Day
RONALD REAGAN WASHINGTON NATL,28-12-92,DC,Climb,Day
SAN FRANCISCO INTL ARPT,28-12-92,California,Approach,Night
SACRAMENTO INTL,02-01-93,California,Climb,Night
DALLAS/FORT WORTH INTL ARPT,05-01-93,Texas,Approach,Day
SACRAMENTO INTL,09-01-93,California,Approach,Day
ORLANDO INTL,10-01-93,Florida,Climb,Day
MINETA SAN JOSE INTL,10-01-93,California,Approach,Day
WASHINGTON DULLES INTL ARPT,11-01-93,DC,Take-off run,Night
LAMBERT-ST LOUIS INTL,11-01-93,Missouri,Landing Roll,Night
LAMBERT-ST LOUIS INTL,12-01-93,Missouri,Approach,Night
LAGUARDIA NY,20-01-93,New York,Take-off run,Night
LIHUE ARPT,20-01-93,Hawaii,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,20-01-93,Texas,Approach,Day
NASHVILLE INTL,21-01-93,Tennessee,Landing Roll,Day
LIHUE ARPT,24-01-93,Hawaii,Approach,Day
CHICAGO O'HARE INTL ARPT,25-01-93,Illinois,Landing Roll,Day
NEW ORLEANS INTL,25-01-93,Louisiana,Take-off run,Dusk
SACRAMENTO INTL,26-01-93,California,Approach,Night
LIHUE ARPT,27-01-93,Hawaii,Approach,Day
HOUSTON-HOBBY,28-01-93,Texas,Approach,Day
MINETA SAN JOSE INTL,29-01-93,California,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,02-02-93,Texas,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,03-02-93,Texas,Approach,Day
HONOLULU INTL ARPT,03-02-93,Hawaii,Landing Roll,Day
MINETA SAN JOSE INTL,07-02-93,California,Climb,Day
SACRAMENTO INTL,08-02-93,California,Approach,Night
SACRAMENTO INTL,09-02-93,California,Approach,Night
METRO OAKLAND INTL,10-02-93,California,Climb,Day
GEORGE BUSH INTERCONTINENTAL,11-02-93,Texas,Take-off run,Day
GEORGE BUSH INTERCONTINENTAL,12-02-93,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,15-02-93,Texas,Landing Roll,Day
LIHUE ARPT,17-02-93,Hawaii,Take-off run,Day
FORT LAUDERDALE/HOLLYWOOD INTL,23-02-93,Florida,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,23-02-93,Texas,Take-off run,Night
LOUISVILLE INTL ARPT,23-02-93,Kentucky,Landing Roll,Day
CHICAGO O'HARE INTL ARPT,25-02-93,Illinois,Descent,Dusk
NEW ORLEANS INTL,25-02-93,Louisiana,Take-off run,Dawn
ORLANDO INTL,27-02-93,Florida,Climb,Day
AUSTIN-BERGSTROM INTL,01-03-93,Texas,Take-off run,Dawn
MEMPHIS INTL,03-03-93,Tennessee,Climb,Day
MEMPHIS INTL,09-03-93,Tennessee,Approach,Night
NEW ORLEANS INTL,10-03-93,Louisiana,Approach,Day
AUSTIN-BERGSTROM INTL,10-03-93,Texas,Climb,Day
MINNEAPOLIS-ST PAUL INTL,11-03-93,Minnesota,Approach,Dusk
MINETA SAN JOSE INTL,11-03-93,California,Take-off run,Day
CHARLOTTE/DOUGLAS INTL ARPT,16-03-93,North Carolina,Approach,Day
INDIANAPOLIS INTL,18-03-93,Indiana,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,20-03-93,Texas,Approach,Day
NASHVILLE INTL,21-03-93,Tennessee,Landing Roll,Day
PHOENIX SKY HARBOR,23-03-93,Arizona,Climb,Dusk
DALLAS/FORT WORTH INTL ARPT,23-03-93,Texas,Climb,Dusk
GEORGE BUSH INTERCONTINENTAL,25-03-93,Texas,Approach,Dawn
WASHINGTON DULLES INTL ARPT,25-03-93,DC,Descent,Night
SAN FRANCISCO INTL ARPT,25-03-93,California,Take-off run,Night
NEWARK LIBERTY INTL ARPT,26-03-93,New Jersey,Approach,Night
HOUSTON-HOBBY,29-03-93,Texas,Descent,Night
SAN ANTONIO INTL,29-03-93,Texas,Landing Roll,Day
SACRAMENTO INTL,30-03-93,California,Approach,Day
CHICAGO O'HARE INTL ARPT,30-03-93,Illinois,Approach,Day
WASHINGTON DULLES INTL ARPT,30-03-93,DC,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,30-03-93,Kentucky,Climb,Day
RONALD REAGAN WASHINGTON NATL,31-03-93,DC,Climb,Night
DETROIT METRO WAYNE COUNTY ARPT,31-03-93,Michigan,Take-off run,Day
FORT LAUDERDALE/HOLLYWOOD INTL,01-04-93,Florida,Approach,Dawn
SACRAMENTO INTL,01-04-93,California,Take-off run,Day
SALT LAKE CITY INTL,01-04-93,Utah,Approach,Night
HONOLULU INTL ARPT,02-04-93,Hawaii,Landing Roll,Day
CHARLOTTE/DOUGLAS INTL ARPT,02-04-93,North Carolina,Approach,Night
SAN ANTONIO INTL,04-04-93,Texas,Approach,Day
SAN FRANCISCO INTL ARPT,06-04-93,California,Approach,Night
NEW ORLEANS INTL,06-04-93,Louisiana,Approach,Night
LOUISVILLE INTL ARPT,07-04-93,Kentucky,Climb,Night
WASHINGTON DULLES INTL ARPT,07-04-93,DC,Approach,Night
FORT LAUDERDALE/HOLLYWOOD INTL,08-04-93,Florida,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,08-04-93,Louisiana,Approach,Night
NEW ORLEANS INTL,08-04-93,Louisiana,Take-off run,Day
SAN ANTONIO INTL,08-04-93,Texas,Approach,Night
LIHUE ARPT,12-04-93,Hawaii,Climb,Day
SACRAMENTO INTL,12-04-93,California,Approach,Day
CHICAGO O'HARE INTL ARPT,13-04-93,Illinois,Climb,Night
INDIANAPOLIS INTL,13-04-93,Indiana,Climb,Day
RONALD REAGAN WASHINGTON NATL,13-04-93,DC,Approach,Dusk
NEWARK LIBERTY INTL ARPT,14-04-93,New Jersey,Approach,Night
JOHN F KENNEDY INTL,14-04-93,New York,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,14-04-93,Louisiana,Approach,Night
LOUISVILLE INTL ARPT,14-04-93,Kentucky,Approach,Night
CHICAGO O'HARE INTL ARPT,15-04-93,Illinois,Approach,Night
NEW ORLEANS INTL,15-04-93,Louisiana,Climb,Day
PORTLAND INTL (OR),15-04-93,Oregon,Approach,Night
DETROIT METRO WAYNE COUNTY ARPT,16-04-93,Michigan,Take-off run,Day
NEW ORLEANS INTL,16-04-93,Louisiana,Climb,Night
DALLAS/FORT WORTH INTL ARPT,17-04-93,Texas,Landing Roll,Day
CHICAGO O'HARE INTL ARPT,17-04-93,Illinois,Approach,Day
LOGAN INTL,18-04-93,Massachusetts,Climb,Day
LAMBERT-ST LOUIS INTL,18-04-93,Missouri,Climb,Night
FORT LAUDERDALE/HOLLYWOOD INTL,18-04-93,Florida,Take-off run,Day
AUSTIN-BERGSTROM INTL,19-04-93,Texas,Take-off run,Dawn
JOHN F KENNEDY INTL,19-04-93,New York,Approach,Day
SACRAMENTO INTL,19-04-93,California,Climb,Day
CHICAGO O'HARE INTL ARPT,19-04-93,Illinois,Approach,Dusk
SAN FRANCISCO INTL ARPT,19-04-93,California,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,19-04-93,Louisiana,Approach,Night
DALLAS/FORT WORTH INTL ARPT,19-04-93,Texas,Approach,Day
HOUSTON-HOBBY,19-04-93,Texas,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,20-04-93,Louisiana,Approach,Night
DALLAS/FORT WORTH INTL ARPT,21-04-93,Texas,Approach,Night
CHARLESTON AFB/INTL ARPT,22-04-93,South Carolina,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,22-04-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,22-04-93,Louisiana,Approach,Night
SAN FRANCISCO INTL ARPT,22-04-93,California,Approach,Day
LAMBERT-ST LOUIS INTL,22-04-93,Missouri,Landing Roll,Day
LAMBERT-ST LOUIS INTL,22-04-93,Missouri,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,22-04-93,Texas,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,23-04-93,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,23-04-93,Louisiana,Approach,Night
SAN FRANCISCO INTL ARPT,23-04-93,California,Climb,Day
CHICAGO O'HARE INTL ARPT,24-04-93,Illinois,Take-off run,Day
FORT LAUDERDALE/HOLLYWOOD INTL,24-04-93,Florida,Take-off run,Night
CHARLOTTE/DOUGLAS INTL ARPT,25-04-93,North Carolina,Take-off run,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,26-04-93,Kentucky,Approach,Day
NEW ORLEANS INTL,26-04-93,Louisiana,Approach,Night
CHARLESTON AFB/INTL ARPT,27-04-93,South Carolina,Climb,Day
INDIANAPOLIS INTL,27-04-93,Indiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,28-04-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,28-04-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,28-04-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,28-04-93,Louisiana,Approach,Night
DALLAS/FORT WORTH INTL ARPT,28-04-93,Texas,Approach,Night
WASHINGTON DULLES INTL ARPT,28-04-93,DC,Climb,Night
GEORGE BUSH INTERCONTINENTAL,28-04-93,Texas,Approach,Day
PHILADELPHIA INTL,28-04-93,Pennsylvania,Landing Roll,Day
GEORGE BUSH INTERCONTINENTAL,28-04-93,Texas,Approach,Dusk
BARKSDALE AIR FORCE BASE ARPT,29-04-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,29-04-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,30-04-93,Louisiana,Take-off run,Day
KANSAS CITY INTL,30-04-93,Missouri,Approach,Night
DALLAS/FORT WORTH INTL ARPT,30-04-93,Texas,Climb,Day
EPPLEY AIRFIELD,01-05-93,Nebraska,Climb,Day
DALLAS/FORT WORTH INTL ARPT,01-05-93,Texas,Landing Roll,Day
LOUISVILLE INTL ARPT,01-05-93,Kentucky,Descent,Night
SACRAMENTO INTL,02-05-93,California,Approach,Night
INDIANAPOLIS INTL,02-05-93,Indiana,Climb,Day
DALLAS/FORT WORTH INTL ARPT,03-05-93,Texas,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,03-05-93,Louisiana,Take-off run,Night
JOHN F KENNEDY INTL,03-05-93,New York,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,04-05-93,Texas,Approach,Night
MEMPHIS INTL,04-05-93,Tennessee,Take-off run,Day
KANSAS CITY INTL,04-05-93,Missouri,Descent,Night
CHARLOTTE/DOUGLAS INTL ARPT,04-05-93,North Carolina,Approach,Day
SAN ANTONIO INTL,04-05-93,Texas,Approach,Day
AUSTIN-BERGSTROM INTL,04-05-93,Texas,Approach,Night
LOUISVILLE INTL ARPT,05-05-93,Kentucky,Approach,Night
DETROIT METRO WAYNE COUNTY ARPT,05-05-93,Michigan,Approach,Night
LAGUARDIA NY,05-05-93,New York,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,06-05-93,Louisiana,Approach,Night
PHILADELPHIA INTL,06-05-93,Pennsylvania,Approach,Night
PHILADELPHIA INTL,06-05-93,Pennsylvania,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,07-05-93,Louisiana,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,08-05-93,Texas,Landing Roll,Dawn
CHICAGO O'HARE INTL ARPT,08-05-93,Illinois,Approach,Dusk
LOUISVILLE INTL ARPT,08-05-93,Kentucky,Approach,Night
LOGAN INTL,09-05-93,Massachusetts,Approach,Night
PORTLAND INTL (OR),09-05-93,Oregon,Descent,Night
NEW ORLEANS INTL,09-05-93,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,10-05-93,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,10-05-93,Louisiana,Approach,Night
CLEVELAND-HOPKINS INTL ARPT,10-05-93,Ohio,Descent,Night
CHICAGO O'HARE INTL ARPT,10-05-93,Illinois,Approach,Day
LAGUARDIA NY,10-05-93,New York,Approach,Night
CHICAGO O'HARE INTL ARPT,11-05-93,Illinois,Approach,Night
AUSTIN-BERGSTROM INTL,11-05-93,Texas,Approach,Day
LOUISVILLE INTL ARPT,11-05-93,Kentucky,Descent,Day
LOUISVILLE INTL ARPT,11-05-93,Kentucky,Approach,Night
SAN ANTONIO INTL,11-05-93,Texas,Approach,Night
MEMPHIS INTL,11-05-93,Tennessee,Climb,Night
CHICAGO O'HARE INTL ARPT,12-05-93,Illinois,Climb,Dusk
CHICAGO O'HARE INTL ARPT,13-05-93,Illinois,Approach,Night
WASHINGTON DULLES INTL ARPT,14-05-93,DC,Approach,Night
CHICAGO O'HARE INTL ARPT,14-05-93,Illinois,Take-off run,Day
WASHINGTON DULLES INTL ARPT,14-05-93,DC,Approach,Night
DALLAS/FORT WORTH INTL ARPT,15-05-93,Texas,Approach,Day
LAGUARDIA NY,15-05-93,New York,Landing Roll,Day
NASHVILLE INTL,15-05-93,Tennessee,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,17-05-93,Texas,Approach,Dawn
GEORGE BUSH INTERCONTINENTAL,18-05-93,Texas,Approach,Day
DALLAS/FORT WORTH INTL ARPT,18-05-93,Texas,Take-off run,Day
SALT LAKE CITY INTL,19-05-93,Utah,Approach,Day
MINNEAPOLIS-ST PAUL INTL,19-05-93,Minnesota,Climb,Day
DALLAS/FORT WORTH INTL ARPT,19-05-93,Texas,Approach,Night
CHICAGO O'HARE INTL ARPT,19-05-93,Illinois,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,20-05-93,Louisiana,Approach,Day
LOS ANGELES INTL,20-05-93,California,Approach,Day
CHICAGO O'HARE INTL ARPT,21-05-93,Illinois,Climb,Day
BALTIMORE WASH INTL,21-05-93,Maryland,Take-off run,Day
LOUISVILLE INTL ARPT,22-05-93,Kentucky,Approach,Day
KANSAS CITY INTL,24-05-93,Missouri,Approach,Day
HOUSTON-HOBBY,24-05-93,Texas,Approach,Day
WILL ROGERS WORLD ARPT,24-05-93,Oklahoma,Climb,Night
NASHVILLE INTL,25-05-93,Tennessee,Take-off run,Night
BARKSDALE AIR FORCE BASE ARPT,25-05-93,Louisiana,Take-off run,Night
EPPLEY AIRFIELD,25-05-93,Nebraska,Approach,Day
CHICAGO O'HARE INTL ARPT,25-05-93,Illinois,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,26-05-93,Louisiana,Approach,Day
SALT LAKE CITY INTL,26-05-93,Utah,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,27-05-93,Texas,Take-off run,Day
CHICAGO O'HARE INTL ARPT,27-05-93,Illinois,Approach,Day
CHICAGO MIDWAY INTL ARPT,29-05-93,Illinois,Approach,Day
DALLAS/FORT WORTH INTL ARPT,29-05-93,Texas,Approach,Day
GREATER PITTSBURGH,30-05-93,Pennsylvania,Landing Roll,Night
MINETA SAN JOSE INTL,31-05-93,California,Approach,Day
CHICAGO O'HARE INTL ARPT,31-05-93,Illinois,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,01-06-93,Texas,Climb,Day
NEW ORLEANS INTL,01-06-93,Louisiana,Approach,Day
CHICAGO O'HARE INTL ARPT,01-06-93,Illinois,Climb,Day
EPPLEY AIRFIELD,01-06-93,Nebraska,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,03-06-93,Texas,Approach,Day
GREATER PITTSBURGH,03-06-93,Pennsylvania,Landing Roll,Day
KANSAS CITY INTL,05-06-93,Missouri,Landing Roll,Night
INDIANAPOLIS INTL,05-06-93,Indiana,Climb,Day
JOHN F KENNEDY INTL,06-06-93,New York,Approach,Day
PORTLAND INTL (OR),06-06-93,Oregon,Approach,Day
JOHN F KENNEDY INTL,08-06-93,New York,Approach,Day
DALLAS/FORT WORTH INTL ARPT,08-06-93,Texas,Climb,Day
LOUISVILLE INTL ARPT,09-06-93,Kentucky,Landing Roll,Night
CHICAGO O'HARE INTL ARPT,10-06-93,Illinois,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,14-06-93,Louisiana,Climb,Night
SAN ANTONIO INTL,14-06-93,Texas,Approach,Night
DETROIT METRO WAYNE COUNTY ARPT,15-06-93,Michigan,Landing Roll,Day
CLEVELAND-HOPKINS INTL ARPT,15-06-93,Ohio,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,15-06-93,Louisiana,Take-off run,Day
JOHN F KENNEDY INTL,15-06-93,New York,Approach,Day
DALLAS/FORT WORTH INTL ARPT,15-06-93,Texas,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,16-06-93,Louisiana,Approach,Day
TETERBORO AIRPORT,16-06-93,New Jersey,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,16-06-93,Louisiana,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,16-06-93,Louisiana,Approach,Night
SALT LAKE CITY INTL,16-06-93,Utah,Approach,Day
CHICAGO O'HARE INTL ARPT,19-06-93,Illinois,Approach,Day
CHICAGO O'HARE INTL ARPT,19-06-93,Illinois,Approach,Dusk
SAN FRANCISCO INTL ARPT,19-06-93,California,Take-off run,Day
NASHVILLE INTL,19-06-93,Tennessee,Climb,Dusk
DALLAS/FORT WORTH INTL ARPT,20-06-93,Texas,Approach,Day
ATLANTIC CITY INTL,20-06-93,New Jersey,Take-off run,Night
BARKSDALE AIR FORCE BASE ARPT,22-06-93,Louisiana,Approach,Day
JOHN F KENNEDY INTL,22-06-93,New York,Climb,Day
SAN FRANCISCO INTL ARPT,23-06-93,California,Approach,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,24-06-93,Kentucky,Approach,Day
CHICAGO MIDWAY INTL ARPT,24-06-93,Illinois,Approach,Day
WASHINGTON DULLES INTL ARPT,26-06-93,DC,Climb,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,27-06-93,Kentucky,Landing Roll,Day
CHICAGO O'HARE INTL ARPT,27-06-93,Illinois,Approach,Dusk
BARKSDALE AIR FORCE BASE ARPT,28-06-93,Louisiana,Climb,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,28-06-93,Kentucky,Climb,Day
INDIANAPOLIS INTL,29-06-93,Indiana,Take-off run,Dusk
GREATER PITTSBURGH,29-06-93,Pennsylvania,Landing Roll,Day
ORLANDO INTL,29-06-93,Florida,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,30-06-93,Louisiana,Climb,Day
MEMPHIS INTL,30-06-93,Tennessee,Approach,Dusk
CHICAGO O'HARE INTL ARPT,01-07-93,Illinois,Take-off run,Night
SAN ANTONIO INTL,01-07-93,Texas,Approach,Day
NEW ORLEANS INTL,01-07-93,Louisiana,Landing Roll,Day
RONALD REAGAN WASHINGTON NATL,02-07-93,DC,Approach,Day
LOUISVILLE INTL ARPT,02-07-93,Kentucky,Approach,Day
MINETA SAN JOSE INTL,02-07-93,California,Climb,Day
LOS ANGELES INTL,03-07-93,California,Landing Roll,Day
PHILADELPHIA INTL,03-07-93,Pennsylvania,Take-off run,Day
LOUISVILLE INTL ARPT,03-07-93,Kentucky,Approach,Night
CHICAGO O'HARE INTL ARPT,04-07-93,Illinois,Climb,Day
CHICAGO O'HARE INTL ARPT,04-07-93,Illinois,Take-off run,Day
NASHVILLE INTL,05-07-93,Tennessee,Approach,Day
DALLAS/FORT WORTH INTL ARPT,05-07-93,Texas,Approach,Day
LOUISVILLE INTL ARPT,06-07-93,Kentucky,Landing Roll,Day
DETROIT METRO WAYNE COUNTY ARPT,06-07-93,Michigan,Climb,Dawn
JOHN F KENNEDY INTL,06-07-93,New York,Approach,Day
GREATER PITTSBURGH,06-07-93,Pennsylvania,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,07-07-93,Louisiana,Climb,Day
ATLANTIC CITY INTL,07-07-93,New Jersey,Climb,Day
GREATER PITTSBURGH,07-07-93,Pennsylvania,Approach,Dawn
RONALD REAGAN WASHINGTON NATL,07-07-93,DC,Approach,Day
SAN ANTONIO INTL,08-07-93,Texas,Approach,Day
NASHVILLE INTL,09-07-93,Tennessee,Approach,Day
LOUISVILLE INTL ARPT,09-07-93,Kentucky,Approach,Night
CHARLESTON AFB/INTL ARPT,11-07-93,South Carolina,Approach,Day
NASHVILLE INTL,12-07-93,Tennessee,Climb,Day
LOUISVILLE INTL ARPT,12-07-93,Kentucky,Take-off run,Day
EPPLEY AIRFIELD,12-07-93,Nebraska,Take-off run,Day
WASHINGTON DULLES INTL ARPT,13-07-93,DC,Landing Roll,Day
BARKSDALE AIR FORCE BASE ARPT,13-07-93,Louisiana,Approach,Dusk
GEORGE BUSH INTERCONTINENTAL,13-07-93,Texas,Take-off run,Day
CHICAGO O'HARE INTL ARPT,13-07-93,Illinois,Approach,Night
PORTLAND INTL (OR),14-07-93,Oregon,Approach,Night
ATLANTIC CITY INTL,15-07-93,New Jersey,Take-off run,Dusk
NEW ORLEANS INTL,15-07-93,Louisiana,Approach,Day
JOHN F KENNEDY INTL,17-07-93,New York,Approach,Day
SALT LAKE CITY INTL,17-07-93,Utah,Climb,Day
CHICAGO O'HARE INTL ARPT,17-07-93,Illinois,Take-off run,Day
MEMPHIS INTL,18-07-93,Tennessee,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,19-07-93,Louisiana,Take-off run,Day
DETROIT METRO WAYNE COUNTY ARPT,20-07-93,Michigan,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,20-07-93,Louisiana,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,21-07-93,Louisiana,Approach,Day
NEW ORLEANS INTL,21-07-93,Louisiana,Approach,Day
SAN ANTONIO INTL,22-07-93,Texas,Approach,Day
SALT LAKE CITY INTL,22-07-93,Utah,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,23-07-93,North Carolina,Approach,Dusk
MINNEAPOLIS-ST PAUL INTL,23-07-93,Minnesota,Climb,Day
GREATER PITTSBURGH,23-07-93,Pennsylvania,Approach,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,23-07-93,Kentucky,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,23-07-93,Texas,Take-off run,Day
NEWARK LIBERTY INTL ARPT,23-07-93,New Jersey,Approach,Dusk
NASHVILLE INTL,23-07-93,Tennessee,Approach,Dusk
LOGAN INTL,24-07-93,Massachusetts,Landing Roll,Day
LOS ANGELES INTL,24-07-93,California,Landing Roll,Day
NASHVILLE INTL,24-07-93,Tennessee,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,25-07-93,Louisiana,Approach,Day
CHICAGO O'HARE INTL ARPT,25-07-93,Illinois,Approach,Day
ATLANTIC CITY INTL,26-07-93,New Jersey,Climb,Day
GREATER PITTSBURGH,26-07-93,Pennsylvania,Climb,Day
ORLANDO INTL,26-07-93,Florida,Take-off run,Day
HONOLULU INTL ARPT,26-07-93,Hawaii,Take-off run,Day
CHICAGO O'HARE INTL ARPT,27-07-93,Illinois,Take-off run,Day
MEMPHIS INTL,27-07-93,Tennessee,Take-off run,Day
CLEVELAND-HOPKINS INTL ARPT,27-07-93,Ohio,Approach,Night
NASHVILLE INTL,28-07-93,Tennessee,Approach,Dusk
CHARLESTON AFB/INTL ARPT,29-07-93,South Carolina,Take-off run,Dawn
GREATER PITTSBURGH,29-07-93,Pennsylvania,Landing Roll,Day
BALTIMORE WASH INTL,29-07-93,Maryland,Take-off run,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,29-07-93,Kentucky,Climb,Day
CHARLESTON AFB/INTL ARPT,30-07-93,South Carolina,Climb,Day
BARKSDALE AIR FORCE BASE ARPT,30-07-93,Louisiana,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,30-07-93,Texas,Take-off run,Day
SAN ANTONIO INTL,30-07-93,Texas,Take-off run,Day
CHICAGO MIDWAY INTL ARPT,30-07-93,Illinois,Approach,Day
CHICAGO O'HARE INTL ARPT,30-07-93,Illinois,Approach,Day
NEWARK LIBERTY INTL ARPT,31-07-93,New Jersey,Climb,Day
NEW ORLEANS INTL,01-08-93,Louisiana,Landing Roll,Day
BALTIMORE WASH INTL,01-08-93,Maryland,Approach,Day
SALT LAKE CITY INTL,01-08-93,Utah,Approach,Day
BALTIMORE WASH INTL,01-08-93,Maryland,Climb,Day
DALLAS/FORT WORTH INTL ARPT,01-08-93,Texas,Landing Roll,Day
LAGUARDIA NY,02-08-93,New York,Climb,Dawn
ORLANDO INTL,02-08-93,Florida,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,03-08-93,Louisiana,Approach,Day
NASHVILLE INTL,03-08-93,Tennessee,Take-off run,Day
LOUISVILLE INTL ARPT,03-08-93,Kentucky,Approach,Night
LOUISVILLE INTL ARPT,04-08-93,Kentucky,Landing Roll,Day
LOS ANGELES INTL,04-08-93,California,Take-off run,Night
PORTLAND INTL (OR),04-08-93,Oregon,Climb,Day
DALLAS/FORT WORTH INTL ARPT,04-08-93,Texas,Take-off run,Day
CHICAGO O'HARE INTL ARPT,05-08-93,Illinois,Approach,Dusk
CHARLESTON AFB/INTL ARPT,06-08-93,South Carolina,Approach,Day
CHICAGO O'HARE INTL ARPT,06-08-93,Illinois,Climb,Day
DALLAS/FORT WORTH INTL ARPT,07-08-93,Texas,Approach,Day
ATLANTIC CITY INTL,07-08-93,New Jersey,Climb,Day
INDIANAPOLIS INTL,08-08-93,Indiana,Climb,Night
SAN ANTONIO INTL,08-08-93,Texas,Approach,Night
CHICAGO MIDWAY INTL ARPT,08-08-93,Illinois,Landing Roll,Night
GREATER PITTSBURGH,08-08-93,Pennsylvania,Landing Roll,Night
BALTIMORE WASH INTL,09-08-93,Maryland,Approach,Day
CHARLESTON AFB/INTL ARPT,09-08-93,South Carolina,Approach,Day
METRO OAKLAND INTL,09-08-93,California,Climb,Day
CLEVELAND-HOPKINS INTL ARPT,09-08-93,Ohio,Take-off run,Day
CHARLESTON AFB/INTL ARPT,09-08-93,South Carolina,Take-off run,Day
CHARLOTTE/DOUGLAS INTL ARPT,09-08-93,North Carolina,Climb,Dusk
EPPLEY AIRFIELD,10-08-93,Nebraska,Climb,Day
HOUSTON-HOBBY,10-08-93,Texas,Climb,Day
MEMPHIS INTL,10-08-93,Tennessee,Approach,Dusk
NASHVILLE INTL,10-08-93,Tennessee,Landing Roll,Day
CHICAGO O'HARE INTL ARPT,11-08-93,Illinois,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,11-08-93,Louisiana,Approach,Day
CHICAGO O'HARE INTL ARPT,12-08-93,Illinois,Take-off run,Day
LOUISVILLE INTL ARPT,13-08-93,Kentucky,Landing Roll,Day
LOGAN INTL,13-08-93,Massachusetts,Take-off run,Day
NASHVILLE INTL,13-08-93,Tennessee,Approach,Day
PHILADELPHIA INTL,13-08-93,Pennsylvania,Climb,Day
NASHVILLE INTL,13-08-93,Tennessee,Take-off run,Day
CHICAGO O'HARE INTL ARPT,14-08-93,Illinois,Approach,Dawn
ORLANDO INTL,14-08-93,Florida,Approach,Day
